name,value,category,date
Grace Miller,471.21,D,2025-10-09
Frank Rodriguez,36.66,C,2025-01-28
Alice Garcia,875.29,D,2025-05-15
Eve Garcia,5.21,D,2021-04-20
Grace Jones,230.36,A,2021-01-13
Diana Garcia,574.77,A,2020-08-05
Ivan Wilson,684.77,D,2023-11-15
Bob Johnson,291.18,C,2020-04-15
Ivan Davis,814.0,A,2025-04-03
Ivan Johnson,155.73,A,2021-08-08
Frank Brown,924.91,A,2024-03-10
Diana Wilson,860.36,C,2023-03-18
Heidi Davis,885.38,D,2022-11-13
Judy Smith,15.05,D,2024-08-25
Frank Garcia,765.2,A,2026-06-08
Grace Wilson,153.06,C,2022-03-18
Bob Garcia,949.2,B,2026-12-09
Judy Johnson,691.93,C,2023-05-03
Frank Brown,882.43,A,2023-08-02
Heidi Rodriguez,451.57,B,2025-04-25
Diana Jones,776.42,C,2023-03-19
Grace Johnson,7.35,B,2022-07-31
Judy Jones,343.68,A,2020-04-18
Charlie Wilson,806.89,C,2026-06-04
Judy Wilson,963.11,A,2023-09-27
Heidi Johnson,432.72,A,2022-01-13
Charlie Davis,239.69,A,2023-02-07
Ivan Williams,361.37,A,2021-12-22
Charlie Miller,205.33,D,2021-01-30
Heidi Williams,118.82,C,2021-12-14
Bob Smith,294.15,B,2020-08-27
Diana Smith,457.65,A,2025-07-18
Alice Miller,114.75,D,2020-05-24
Heidi Williams,888.79,D,2023-02-18
Bob Wilson,101.66,D,2022-09-06
Grace Miller,851.18,D,2022-05-25
Ivan Rodriguez,945.95,D,2021-12-30
Ivan Jones,458.31,B,2020-06-11
Diana Brown,753.71,A,2020-04-14
Alice Rodriguez,829.14,C,2023-05-13
Ivan Rodriguez,251.89,C,2026-10-16
Charlie Miller,190.52,C,2025-03-13
Eve Johnson,944.3,B,2024-09-16
Heidi Miller,416.26,B,2024-07-03
Alice Davis,349.32,A,2023-11-08
Judy Davis,513.14,A,2020-04-29
Grace Brown,803.26,C,2023-10-09
Charlie Brown,449.7,D,2022-06-15
Eve Davis,473.28,C,2026-07-04
Heidi Jones,752.93,C,2022-12-12
Charlie Garcia,639.74,C,2026-11-20
Bob Rodriguez,746.29,B,2022-07-20
Heidi Garcia,466.77,C,2022-01-18
Diana Davis,189.06,C,2021-08-03
Eve Johnson,204.09,D,2025-10-03
Grace Davis,538.73,D,2025-09-20
Charlie Williams,655.6,B,2026-04-09
Charlie Miller,302.73,B,2021-07-19
Frank Rodriguez,979.18,D,2026-08-26
Judy Garcia,924.14,D,2022-06-29
Grace Jones,557.59,C,2025-03-31
Diana Johnson,231.05,D,2025-07-26
Grace Davis,853.5,B,2020-12-03
Ivan Williams,316.32,D,2025-01-09
Alice Davis,115.19,B,2021-11-01
Charlie Brown,131.83,D,2025-11-28
Grace Williams,562.31,A,2021-04-02
Ivan Jones,723.36,C,2020-02-01
Grace Williams,369.52,B,2024-08-16
Frank Garcia,854.87,C,2021-12-09
Grace Rodriguez,225.83,A,2025-09-13
Diana Miller,623.6,C,2026-03-13
Ivan Rodriguez,917.99,C,2025-03-07
Ivan Jones,449.58,B,2023-07-11
Bob Davis,584.56,B,2025-03-22
Heidi Miller,770.31,C,2026-02-01
Charlie Brown,913.58,A,2020-09-14
Ivan Brown,682.48,D,2025-11-23
Judy Wilson,523.9,B,2025-11-23
Bob Rodriguez,9.86,A,2021-12-17
Judy Jones,717.15,B,2024-10-18
Frank Smith,221.09,A,2022-10-10
Charlie Rodriguez,918.41,D,2020-07-03
Frank Smith,693.44,A,2024-06-07
Alice Rodriguez,448.76,D,2026-12-05
Charlie Garcia,949.47,D,2025-05-29
Diana Johnson,690.42,B,2024-08-15
Eve Smith,706.43,C,2023-01-03
Eve Rodriguez,651.52,A,2024-12-07
Grace Williams,671.26,B,2026-03-07
Ivan Williams,859.26,B,2022-08-10
Heidi Wilson,432.93,C,2026-05-15
Frank Miller,195.65,C,2026-10-31
Bob Johnson,921.24,A,2025-12-07
Grace Rodriguez,397.21,B,2026-02-21
Charlie Garcia,11.28,A,2023-09-06
Judy Johnson,714.91,D,2023-07-02
Ivan Brown,52.04,B,2025-04-03
Judy Brown,820.45,A,2026-04-20
Alice Rodriguez,94.84,B,2026-10-23
Eve Jones,969.2,A,2024-10-24
Bob Williams,847.87,A,2025-09-12
