id,name,age,score
1,Alice Wilson,34,89.88
2,  Heidi Davis  ,49,96.37
3,Frank Smith,28,0.91
4,Judy Jones,24,
5,  Charlie Wilson  ,,
6,Charlie Jones,51,77.83
7,Alice Williams,31,
8,Judy Jones,54,30.8
9,Grace Garcia,36,16.01
10,Judy Jones,29,40.37
11,Judy Williams,51,68.74
12,  Eve Smith  ,66,10.63
13,Judy Brown,,87.06
14,Frank Johnson,58,31.27
15,Judy Brown,71,3.7
16,Grace Johnson,66,1.73
17,Ivan Johnson,48,0.23
18,Grace Davis,78,31.64
19,Charlie Miller,48,32.21
20,Diana Jones,67,92.19
21,Diana Rodriguez,57,0.73
22,Diana Brown,44,24.13
23,Bob Miller,70,86.56
24,Diana Smith,36,29.35
25,Charlie Brown,30,0.43
26,Charlie Williams,75,70.02
27,Frank Smith,71,70.19
28,Eve Brown,,10.67
29,Grace Garcia,78,5.87
30,Alice Brown,72,51.95
31,Diana Miller,53,6.67
32,Frank Wilson,73,80.86
33,Bob Rodriguez,31,37.9
34,Bob Wilson,62,80.27
35,Frank Jones,27,94.29
36,Diana Garcia,33,38.48
37,Ivan Brown,33,5.33
38,Frank Wilson,23,80.56
39,Heidi Garcia,31,55.2
40,Grace Johnson,59,33.67
41,Grace Brown,30,17.26
42,Charlie Wilson,54,76.84
43,Grace Garcia,24,68.3
44,Heidi Williams,19,79.63
45,Charlie Wilson,47,65.52
46,Frank Smith,78,
47,Ivan Smith,58,1.38
48,Judy Rodriguez,60,89.92
49,Ivan Smith,66,21.84
50,Ivan Johnson,57,54.69
51,Judy Wilson,,92.75
52,Ivan Brown,77,9.63
53,Grace Brown,45,48.57
54,Ivan Miller,56,36.36
55,Grace Miller,65,16.22
56,Ivan Brown,79,39.34
57,Frank Johnson,46,85.46
58,Frank Jones,32,67.04
59,Frank Johnson,61,98.2
60,Diana Miller,50,66.31
61,Diana Miller,43,63.33
62,Charlie Johnson,40,22.59
63,Heidi Wilson,65,2.3
64,Alice Smith,43,96.7
65,Grace Smith,32,3.64
66,Charlie Smith,63,16.76
67,Grace Rodriguez,39,2.7
68,Charlie Wilson,25,25.26
69,Diana Davis,22,44.47
70,Ivan Smith,63,53.2
71,Frank Rodriguez,74,95.43
72,Grace Johnson,42,34.44
73,Judy Brown,70,8.75
74,Diana Miller,40,38.15
75,  Diana Smith  ,64,80.49
76,Ivan Davis,72,93.89
77,Ivan Johnson,68,35.09
78,Alice Williams,79,5.73
79,Frank Garcia,,
80,Alice Rodriguez,65,9.83
81,Eve Rodriguez,64,86.54
82,  Eve Jones  ,64,89.93
83,Diana Smith,74,16.68
84,Bob Smith,73,80.11
85,Judy Rodriguez,64,2.72
86,Diana Johnson,32,78.63
87,Judy Wilson,40,62.08
88,  Alice Johnson  ,47,83.17
89,Eve Rodriguez,69,60.92
90,Diana Johnson,36,39.27
91,Alice Davis,34,63.24
92,Alice Miller,73,92.21
93,Diana Williams,38,
94,Ivan Garcia,57,47.05
95,Judy Williams,57,28.22
96,Frank Wilson,62,53.65
97,Ivan Davis,51,86.18
98,Judy Jones,68,33.23
99,Alice Miller,47,76.72
100,Frank Smith,34,36.3
101,Heidi Garcia,33,78.23
102,Grace Jones,65,27.12
103,Charlie Johnson,45,45.55
104,  Grace Johnson  ,18,46.76
105,Frank Jones,44,84.84
106,  Bob Johnson  ,34,63.98
107,Heidi Williams,48,60.07
108,Eve Miller,39,10.08
109,Charlie Rodriguez,67,
110,Ivan Jones,52,82.29
111,Frank Miller,75,26.89
112,Diana Miller,80,56.32
113,Bob Williams,64,28.76
114,Diana Brown,44,24.88
115,Charlie Davis,42,16.36
116,  Diana Brown  ,65,3.93
117,Bob Brown,71,47.77
118,Bob Garcia,27,69.42
119,Bob Brown,40,34.34
120,Judy Jones,31,
121,Grace Wilson,47,21.89
122,Diana Miller,40,65.68
123,Heidi Brown,54,17.86
124,Alice Williams,66,65.32
125,Ivan Davis,31,89.8
126,Eve Johnson,48,88.35
127,Diana Garcia,53,11.98
128,  Eve Brown  ,65,7.23
129,Diana Rodriguez,67,94.24
130,Diana Garcia,19,50.7
131,  Frank Johnson  ,61,69.86
132,  Bob Brown  ,39,82.04
133,Eve Johnson,30,21.66
134,Diana Wilson,79,54.78
135,Grace Johnson,34,3.7
136,Grace Johnson,21,26.68
137,  Frank Garcia  ,44,67.92
138,Eve Miller,22,
139,Judy Rodriguez,42,3.85
140,Frank Rodriguez,37,18.65
141,Diana Wilson,,78.03
142,Alice Davis,79,23.52
143,Bob Jones,60,48.79
144,Charlie Wilson,36,39.66
145,  Alice Garcia  ,59,65.65
146,Charlie Smith,24,65.58
147,Diana Garcia,35,58.95
148,Heidi Smith,61,5.8
149,Heidi Smith,53,19.58
150,Charlie Miller,74,4.35
151,Frank Jones,77,16.1
152,  Grace Smith  ,39,25.41
153,Alice Davis,22,9.73
154,Charlie Johnson,40,98.34
155,Charlie Davis,22,75.41
156,Eve Jones,41,60.99
157,  Judy Brown  ,61,9.21
158,Heidi Jones,55,23.42
159,Diana Miller,73,70.1
160,Charlie Miller,57,60.5
161,Frank Johnson,75,30.73
162,Judy Garcia,43,64.1
163,Alice Brown,29,90.81
164,Alice Miller,64,51.17
165,Ivan Johnson,45,57.86
166,Diana Brown,53,15.76
167,Bob Wilson,72,27.47
168,Alice Davis,55,44.34
169,Diana Rodriguez,31,89.4
170,Diana Smith,35,27.39
171,Ivan Brown,67,64.8
172,Judy Brown,23,72.63
173,Frank Garcia,64,12.31
174,  Grace Davis  ,39,45.7
175,Diana Rodriguez,73,15.6
176,Charlie Brown,55,
177,Eve Johnson,33,6.87
178,Heidi Jones,74,60.64
179,Alice Williams,25,14.57
180,Ivan Johnson,59,26.87
181,Diana Williams,71,64.14
182,Charlie Garcia,76,74.02
183,Diana Wilson,67,0.78
184,Heidi Rodriguez,26,97.33
185,Heidi Miller,68,77.13
186,Charlie Garcia,53,34.13
187,Grace Jones,39,97.64
188,Diana Davis,61,88.64
189,Heidi Williams,79,98.15
190,Ivan Jones,41,35.87
191,Ivan Williams,19,59.61
192,Alice Brown,62,
193,Frank Johnson,58,76.2
194,Bob Smith,73,63.92
195,Judy Williams,35,15.41
196,Judy Brown,31,48.95
197,Ivan Rodriguez,66,35.65
198,Frank Jones,70,3.33
199,Judy Jones,19,3.55
200,Charlie Brown,47,47.23
201,  Bob Williams  ,26,28.57
202,Grace Johnson,,45.35
203,  Heidi Miller  ,68,20.98
204,Eve Miller,76,80.76
205,Eve Smith,45,44.47
206,Diana Wilson,45,50.88
207,Charlie Brown,38,51.53
208,Judy Davis,,87.39
209,Judy Garcia,36,21.43
210,Diana Davis,80,28.73
211,Judy Brown,37,35.0
212,Grace Miller,78,88.96
213,Frank Wilson,22,29.3
214,Charlie Smith,80,13.95
215,  Ivan Smith  ,44,11.87
216,Frank Wilson,72,62.65
217,Eve Rodriguez,33,13.92
218,Judy Wilson,50,98.53
219,Heidi Smith,,88.38
220,Judy Wilson,69,82.63
221,Bob Davis,71,88.71
222,Diana Johnson,33,86.21
223,Bob Davis,52,12.85
224,  Bob Garcia  ,76,14.0
225,Alice Smith,46,80.38
226,Judy Brown,22,80.1
227,Alice Rodriguez,52,
228,Bob Smith,78,
229,Diana Garcia,76,63.45
230,Heidi Smith,80,0.77
231,  Judy Williams  ,24,8.17
232,Alice Rodriguez,35,66.84
233,Charlie Johnson,49,26.09
234,Grace Smith,38,33.28
235,Diana Wilson,31,76.92
236,Eve Davis,45,47.79
237,Grace Garcia,29,8.91
238,Heidi Williams,78,71.31
239,Grace Davis,47,
240,Grace Wilson,43,81.65
241,Charlie Smith,60,44.54
242,Heidi Miller,60,44.7
243,Bob Miller,76,82.09
244,Diana Miller,26,47.36
245,Ivan Brown,64,46.53
246,Heidi Johnson,40,38.45
247,Grace Davis,69,24.93
248,Ivan Miller,29,97.94
249,Eve Garcia,48,46.0
250,Judy Johnson,61,95.19
251,Judy Johnson,79,62.15
252,Alice Brown,29,79.51
253,Charlie Smith,79,3.93
254,Bob Davis,63,39.05
255,Alice Miller,65,99.3
256,Charlie Brown,48,49.02
257,Heidi Williams,71,3.57
258,Bob Rodriguez,45,89.68
259,Charlie Smith,76,2.59
260,Frank Garcia,18,74.81
261,Alice Garcia,33,56.16
262,Eve Miller,60,51.3
263,Bob Davis,48,78.59
264,Grace Williams,51,23.94
265,Bob Jones,72,35.48
266,  Frank Rodriguez  ,22,27.51
267,Alice Jones,24,98.97
268,Alice Rodriguez,20,95.83
269,Frank Garcia,23,53.04
270,Diana Wilson,22,49.2
271,Eve Smith,31,97.67
272,Diana Wilson,62,13.27
273,Diana Brown,53,69.43
274,Alice Rodriguez,47,40.39
275,Ivan Wilson,30,29.72
276,Charlie Rodriguez,31,76.12
277,Diana Garcia,24,80.3
278,Grace Smith,78,28.75
279,Ivan Smith,44,47.69
280,Grace Williams,29,0.58
281,Alice Rodriguez,65,67.41
282,Bob Rodriguez,30,63.86
283,Alice Jones,78,43.27
284,Frank Johnson,,17.87
285,Alice Rodriguez,31,29.72
286,Eve Brown,31,17.2
287,Heidi Jones,70,47.34
288,Frank Williams,30,2.11
289,Frank Garcia,64,95.56
290,  Eve Wilson  ,23,83.83
291,Ivan Williams,19,3.06
292,Grace Davis,43,32.97
293,Charlie Johnson,60,83.89
294,Heidi Rodriguez,59,
295,Ivan Brown,39,64.27
296,Alice Miller,57,29.2
297,Bob Rodriguez,42,60.81
298,Heidi Johnson,77,8.66
299,Eve Davis,78,35.92
300,Diana Smith,55,28.1
301,Charlie Jones,80,16.57
302,Heidi Smith,28,92.02
303,  Eve Johnson  ,25,47.38
304,Eve Davis,42,
305,Bob Williams,60,90.54
306,Judy Smith,32,0.08
307,Frank Smith,72,43.58
308,Frank Johnson,60,81.56
309,Frank Brown,24,82.19
310,  Diana Davis  ,32,77.57
311,Ivan Smith,18,88.62
312,Bob Williams,25,32.36
313,Eve Brown,48,58.18
314,Bob Wilson,45,81.77
315,Frank Rodriguez,,61.1
316,  Frank Williams  ,56,22.54
317,Ivan Wilson,19,84.49
318,Frank Davis,49,85.95
319,Heidi Brown,32,28.9
320,Charlie Johnson,53,24.77
321,Charlie Rodriguez,60,45.62
322,Judy Davis,31,9.47
323,Ivan Brown,76,11.32
324,Judy Davis,25,41.9
325,Charlie Rodriguez,39,86.26
326,Charlie Williams,66,56.52
327,  Heidi Smith  ,80,74.63
328,Grace Jones,30,68.83
329,Charlie Smith,41,99.73
330,  Grace Brown  ,71,6.67
331,Frank Miller,25,18.47
332,Grace Garcia,18,66.43
333,Grace Jones,66,83.23
334,Ivan Johnson,41,64.11
335,Diana Garcia,78,64.78
336,  Eve Garcia  ,79,52.87
337,  Diana Wilson  ,44,88.72
338,Grace Jones,75,69.76
339,Frank Johnson,80,1.04
340,Charlie Jones,21,92.49
341,Frank Garcia,29,8.3
342,  Diana Williams  ,55,98.95
343,Ivan Davis,53,24.47
344,Alice Jones,39,37.92
345,Heidi Smith,64,31.38
346,Heidi Garcia,23,92.09
347,Grace Davis,35,58.54
348,  Judy Williams  ,65,10.63
349,Grace Miller,55,72.31
350,Judy Garcia,48,90.96
351,Alice Garcia,53,34.32
352,Bob Johnson,28,61.45
353,Diana Davis,66,15.33
354,Alice Miller,40,67.69
355,Heidi Miller,41,81.12
356,  Charlie Miller  ,48,93.83
357,Diana Johnson,32,59.3
358,Eve Miller,27,98.7
359,Judy Jones,80,51.15
360,Alice Garcia,22,52.72
361,  Heidi Johnson  ,42,76.01
362,Alice Williams,48,61.21
363,Heidi Wilson,78,87.4
364,Alice Garcia,57,52.92
365,  Eve Smith  ,38,34.69
366,Diana Wilson,61,5.75
367,Bob Rodriguez,25,30.17
368,Judy Wilson,36,68.55
369,Heidi Jones,74,
370,Frank Jones,28,72.8
371,Heidi Smith,65,11.59
372,Judy Johnson,66,25.88
373,Alice Williams,72,65.39
374,Frank Wilson,26,51.4
375,Ivan Williams,53,31.34
376,Grace Johnson,77,29.45
377,  Eve Smith  ,56,4.06
378,Bob Brown,33,82.51
379,Charlie Davis,36,68.6
380,Alice Garcia,19,
381,Grace Jones,72,67.88
382,  Judy Garcia  ,49,38.82
383,Bob Williams,35,67.09
384,Bob Williams,64,36.65
385,  Frank Brown  ,67,5.58
386,Alice Brown,33,14.54
387,Judy Brown,22,91.97
388,Judy Davis,71,1.38
389,Bob Johnson,68,55.89
390,Heidi Garcia,38,33.12
391,  Grace Smith  ,29,64.6
392,  Heidi Rodriguez  ,34,39.59
393,Heidi Garcia,39,2.57
394,Frank Williams,65,59.85
395,Heidi Davis,75,
396,Diana Williams,45,69.11
397,Ivan Wilson,64,90.68
398,Charlie Miller,66,40.52
399,Eve Wilson,75,61.83
400,Judy Williams,71,17.53
401,Alice Miller,43,5.1
402,  Eve Smith  ,38,41.66
403,Charlie Smith,70,22.51
404,Eve Jones,60,6.08
405,Charlie Smith,51,63.4
406,Alice Miller,26,36.57
407,Ivan Smith,51,47.47
408,  Grace Davis  ,67,41.52
409,Grace Garcia,63,88.78
410,  Heidi Smith  ,30,93.95
411,Ivan Rodriguez,50,21.26
412,Heidi Miller,35,
413,Eve Smith,79,50.67
414,Frank Wilson,76,57.72
415,Grace Jones,32,10.07
416,Judy Wilson,40,87.53
417,Grace Davis,58,17.66
418,Bob Miller,39,68.08
419,Bob Wilson,76,9.24
420,  Frank Williams  ,20,19.47
421,Alice Johnson,78,61.25
422,Frank Davis,53,40.06
423,Ivan Miller,44,5.49
424,Charlie Smith,76,41.16
425,Charlie Wilson,21,33.01
426,Bob Miller,27,56.25
427,Judy Johnson,20,19.04
428,Heidi Wilson,72,16.52
429,Judy Garcia,79,35.9
430,Judy Williams,20,69.98
431,Judy Williams,37,43.99
432,Heidi Davis,24,10.57
433,Diana Williams,66,24.28
434,Heidi Williams,66,63.4
435,Charlie Williams,19,56.44
436,Diana Rodriguez,24,79.37
437,Eve Wilson,78,45.83
438,  Heidi Wilson  ,68,18.9
439,Alice Brown,39,83.0
440,Heidi Johnson,30,49.85
441,  Alice Jones  ,78,81.82
442,Bob Williams,30,5.75
443,Grace Brown,31,77.07
444,Ivan Brown,34,37.87
445,Frank Davis,77,17.31
446,Alice Smith,62,17.79
447,Judy Rodriguez,71,99.8
448,Diana Jones,51,43.5
449,Charlie Davis,46,5.43
450,Alice Wilson,60,0.7
451,Diana Davis,66,30.23
452,Ivan Jones,49,8.03
453,Grace Rodriguez,74,75.68
454,Ivan Smith,24,88.7
455,Bob Johnson,66,
456,Charlie Garcia,38,14.03
457,Eve Rodriguez,32,27.89
