transaction_id,customer_id,customer_name,customer_email,customer_country,product_id,product_name,product_category,product_price,quantity,amount,transaction_date
1,36,Customer_36,cust36@example.com,CA,3,Monitor,Electronics,400.0,5,2000.0,2025-01-13
2,29,Customer_29,cust29@example.com,AU,2,Phone,Electronics,800.0,4,3200.0,2025-04-15
3,21,Customer_21,cust21@example.com,US,2,Phone,Electronics,800.0,5,4000.0,2025-10-31
4,7,Customer_7,cust7@example.com,US,5,Mouse,Accessories,50.0,5,250.0,2025-04-17
5,6,Customer_6,cust6@example.com,US,5,Mouse,Accessories,50.0,2,100.0,2025-08-16
6,32,Customer_32,cust32@example.com,CA,1,Laptop,Electronics,1200.0,5,6000.0,2025-09-02
7,18,Customer_18,cust18@example.com,US,5,Mouse,Accessories,50.0,5,250.0,2025-05-18
8,28,Customer_28,cust28@example.com,CA,2,Phone,Electronics,800.0,2,1600.0,2025-11-08
9,43,Customer_43,cust43@example.com,AU,1,Laptop,Electronics,1200.0,3,3600.0,2025-07-19
10,20,Customer_20,cust20@example.com,AU,1,Laptop,Electronics,1200.0,4,4800.0,2025-02-09
11,18,Customer_18,cust18@example.com,US,5,Mouse,Accessories,50.0,4,200.0,2025-02-08
12,44,Customer_44,cust44@example.com,UK,5,Mouse,Accessories,50.0,5,250.0,2025-11-21
13,21,Customer_21,cust21@example.com,US,2,Phone,Electronics,800.0,2,1600.0,2025-11-19
14,19,Customer_19,cust19@example.com,AU,1,Laptop,Electronics,1200.0,2,2400.0,2025-11-24
15,43,Customer_43,cust43@example.com,AU,3,Monitor,Electronics,400.0,1,400.0,2025-01-12
16,14,Customer_14,cust14@example.com,CA,3,Monitor,Electronics,400.0,1,400.0,2025-01-26
17,18,Customer_18,cust18@example.com,US,3,Monitor,Electronics,400.0,2,800.0,2025-01-14
18,45,Customer_45,cust45@example.com,AU,5,Mouse,Accessories,50.0,2,100.0,2025-10-12
19,15,Customer_15,cust15@example.com,CA,5,Mouse,Accessories,50.0,5,250.0,2025-09-10
20,21,Customer_21,cust21@example.com,US,2,Phone,Electronics,800.0,2,1600.0,2025-06-26
21,35,Customer_35,cust35@example.com,US,4,Keyboard,Accessories,100.0,5,500.0,2025-08-14
22,33,Customer_33,cust33@example.com,US,5,Mouse,Accessories,50.0,1,50.0,2025-04-28
23,23,Customer_23,cust23@example.com,CA,5,Mouse,Accessories,50.0,1,50.0,2025-11-14
24,11,Customer_11,cust11@example.com,CA,5,Mouse,Accessories,50.0,4,200.0,2025-10-05
25,20,Customer_20,cust20@example.com,AU,3,Monitor,Electronics,400.0,2,800.0,2025-02-07
26,2,Customer_2,cust2@example.com,US,3,Monitor,Electronics,400.0,3,1200.0,2025-07-02
27,13,Customer_13,cust13@example.com,US,4,Keyboard,Accessories,100.0,1,100.0,2025-09-18
28,32,Customer_32,cust32@example.com,CA,4,Keyboard,Accessories,100.0,4,400.0,2025-11-03
29,14,Customer_14,cust14@example.com,CA,2,Phone,Electronics,800.0,1,800.0,2025-11-07
30,42,Customer_42,cust42@example.com,CA,1,Laptop,Electronics,1200.0,4,4800.0,2025-09-17
31,8,Customer_8,cust8@example.com,US,4,Keyboard,Accessories,100.0,5,500.0,2025-06-17
32,7,Customer_7,cust7@example.com,US,4,Keyboard,Accessories,100.0,3,300.0,2025-07-12
33,7,Customer_7,cust7@example.com,US,2,Phone,Electronics,800.0,1,800.0,2025-04-25
34,33,Customer_33,cust33@example.com,US,2,Phone,Electronics,800.0,4,3200.0,2025-12-07
35,15,Customer_15,cust15@example.com,CA,4,Keyboard,Accessories,100.0,3,300.0,2025-05-11
36,18,Customer_18,cust18@example.com,US,4,Keyboard,Accessories,100.0,1,100.0,2025-05-08
37,2,Customer_2,cust2@example.com,US,3,Monitor,Electronics,400.0,5,2000.0,2025-06-13
38,46,Customer_46,cust46@example.com,US,3,Monitor,Electronics,400.0,1,400.0,2025-09-18
39,35,Customer_35,cust35@example.com,US,2,Phone,Electronics,800.0,4,3200.0,2026-01-06
40,23,Customer_23,cust23@example.com,CA,5,Mouse,Accessories,50.0,3,150.0,2025-10-10
41,5,Customer_5,cust5@example.com,US,3,Monitor,Electronics,400.0,4,1600.0,2025-02-09
42,5,Customer_5,cust5@example.com,US,1,Laptop,Electronics,1200.0,4,4800.0,2025-06-03
43,20,Customer_20,cust20@example.com,AU,5,Mouse,Accessories,50.0,3,150.0,2025-07-25
44,12,Customer_12,cust12@example.com,US,2,Phone,Electronics,800.0,1,800.0,2025-02-12
45,4,Customer_4,cust4@example.com,US,4,Keyboard,Accessories,100.0,3,300.0,2025-10-08
46,15,Customer_15,cust15@example.com,CA,1,Laptop,Electronics,1200.0,5,6000.0,2025-04-07
47,27,Customer_27,cust27@example.com,CA,4,Keyboard,Accessories,100.0,2,200.0,2025-10-03
48,1,Customer_1,cust1@example.com,US,2,Phone,Electronics,800.0,3,2400.0,2025-07-27
49,9,Customer_9,cust9@example.com,US,5,Mouse,Accessories,50.0,3,150.0,2025-02-25
50,36,Customer_36,cust36@example.com,CA,4,Keyboard,Accessories,100.0,2,200.0,2025-02-10
51,35,Customer_35,cust35@example.com,US,3,Monitor,Electronics,400.0,4,1600.0,2025-04-23
52,41,Customer_41,cust41@example.com,US,1,Laptop,Electronics,1200.0,2,2400.0,2026-01-12
53,46,Customer_46,cust46@example.com,US,5,Mouse,Accessories,50.0,4,200.0,2025-10-26
54,29,Customer_29,cust29@example.com,AU,4,Keyboard,Accessories,100.0,3,300.0,2025-02-07
55,43,Customer_43,cust43@example.com,AU,4,Keyboard,Accessories,100.0,1,100.0,2025-10-02
56,6,Customer_6,cust6@example.com,US,3,Monitor,Electronics,400.0,1,400.0,2025-11-05
57,11,Customer_11,cust11@example.com,CA,2,Phone,Electronics,800.0,5,4000.0,2025-09-14
58,11,Customer_11,cust11@example.com,CA,4,Keyboard,Accessories,100.0,2,200.0,2025-08-08
59,42,Customer_42,cust42@example.com,CA,1,Laptop,Electronics,1200.0,2,2400.0,2025-08-19
60,5,Customer_5,cust5@example.com,US,5,Mouse,Accessories,50.0,5,250.0,2025-06-24
61,24,Customer_24,cust24@example.com,CA,2,Phone,Electronics,800.0,1,800.0,2025-05-31
62,7,Customer_7,cust7@example.com,US,2,Phone,Electronics,800.0,2,1600.0,2025-03-11
63,22,Customer_22,cust22@example.com,AU,3,Monitor,Electronics,400.0,4,1600.0,2025-08-24
64,41,Customer_41,cust41@example.com,US,5,Mouse,Accessories,50.0,2,100.0,2025-11-18
65,29,Customer_29,cust29@example.com,AU,3,Monitor,Electronics,400.0,3,1200.0,2025-10-05
66,29,Customer_29,cust29@example.com,AU,1,Laptop,Electronics,1200.0,4,4800.0,2025-03-30
67,36,Customer_36,cust36@example.com,CA,5,Mouse,Accessories,50.0,3,150.0,2025-06-11
68,30,Customer_30,cust30@example.com,US,2,Phone,Electronics,800.0,4,3200.0,2025-01-27
69,37,Customer_37,cust37@example.com,CA,3,Monitor,Electronics,400.0,5,2000.0,2025-03-25
70,29,Customer_29,cust29@example.com,AU,3,Monitor,Electronics,400.0,4,1600.0,2025-12-03
71,47,Customer_47,cust47@example.com,UK,2,Phone,Electronics,800.0,4,3200.0,2025-04-19
72,43,Customer_43,cust43@example.com,AU,5,Mouse,Accessories,50.0,3,150.0,2025-03-24
73,11,Customer_11,cust11@example.com,CA,5,Mouse,Accessories,50.0,1,50.0,2025-09-07
74,14,Customer_14,cust14@example.com,CA,5,Mouse,Accessories,50.0,2,100.0,2025-08-13
75,16,Customer_16,cust16@example.com,UK,1,Laptop,Electronics,1200.0,3,3600.0,2025-06-29
76,40,Customer_40,cust40@example.com,UK,5,Mouse,Accessories,50.0,2,100.0,2025-09-02
77,42,Customer_42,cust42@example.com,CA,4,Keyboard,Accessories,100.0,5,500.0,2025-12-22
78,18,Customer_18,cust18@example.com,US,4,Keyboard,Accessories,100.0,5,500.0,2025-07-29
79,40,Customer_40,cust40@example.com,UK,4,Keyboard,Accessories,100.0,5,500.0,2025-02-14
80,31,Customer_31,cust31@example.com,CA,5,Mouse,Accessories,50.0,2,100.0,2025-07-07
81,14,Customer_14,cust14@example.com,CA,2,Phone,Electronics,800.0,4,3200.0,2025-06-09
82,40,Customer_40,cust40@example.com,UK,3,Monitor,Electronics,400.0,1,400.0,2025-06-12
83,5,Customer_5,cust5@example.com,US,4,Keyboard,Accessories,100.0,1,100.0,2025-02-22
84,45,Customer_45,cust45@example.com,AU,4,Keyboard,Accessories,100.0,2,200.0,2025-02-12
85,5,Customer_5,cust5@example.com,US,4,Keyboard,Accessories,100.0,1,100.0,2025-10-15
86,32,Customer_32,cust32@example.com,CA,2,Phone,Electronics,800.0,5,4000.0,2025-09-28
87,15,Customer_15,cust15@example.com,CA,2,Phone,Electronics,800.0,4,3200.0,2025-09-22
88,15,Customer_15,cust15@example.com,CA,4,Keyboard,Accessories,100.0,1,100.0,2025-04-25
89,35,Customer_35,cust35@example.com,US,3,Monitor,Electronics,400.0,2,800.0,2025-12-02
90,45,Customer_45,cust45@example.com,AU,1,Laptop,Electronics,1200.0,5,6000.0,2025-11-10
91,44,Customer_44,cust44@example.com,UK,3,Monitor,Electronics,400.0,3,1200.0,2025-07-09
92,18,Customer_18,cust18@example.com,US,3,Monitor,Electronics,400.0,3,1200.0,2025-11-13
93,12,Customer_12,cust12@example.com,US,2,Phone,Electronics,800.0,4,3200.0,2025-05-03
94,35,Customer_35,cust35@example.com,US,1,Laptop,Electronics,1200.0,4,4800.0,2025-05-24
95,34,Customer_34,cust34@example.com,UK,2,Phone,Electronics,800.0,2,1600.0,2025-05-06
96,18,Customer_18,cust18@example.com,US,1,Laptop,Electronics,1200.0,4,4800.0,2025-02-21
97,7,Customer_7,cust7@example.com,US,4,Keyboard,Accessories,100.0,1,100.0,2025-10-10
98,23,Customer_23,cust23@example.com,CA,4,Keyboard,Accessories,100.0,5,500.0,2025-03-09
99,42,Customer_42,cust42@example.com,CA,4,Keyboard,Accessories,100.0,4,400.0,2025-08-10
100,37,Customer_37,cust37@example.com,CA,4,Keyboard,Accessories,100.0,5,500.0,2025-09-28
101,13,Customer_13,cust13@example.com,US,2,Phone,Electronics,800.0,3,2400.0,2025-10-12
102,48,Customer_48,cust48@example.com,AU,4,Keyboard,Accessories,100.0,1,100.0,2026-01-03
103,22,Customer_22,cust22@example.com,AU,3,Monitor,Electronics,400.0,3,1200.0,2025-08-12
104,28,Customer_28,cust28@example.com,CA,2,Phone,Electronics,800.0,1,800.0,2025-04-06
105,6,Customer_6,cust6@example.com,US,4,Keyboard,Accessories,100.0,2,200.0,2025-10-22
106,39,Customer_39,cust39@example.com,AU,1,Laptop,Electronics,1200.0,5,6000.0,2025-07-03
107,1,Customer_1,cust1@example.com,US,2,Phone,Electronics,800.0,1,800.0,2025-06-11
108,3,Customer_3,cust3@example.com,AU,2,Phone,Electronics,800.0,1,800.0,2025-04-26
109,35,Customer_35,cust35@example.com,US,3,Monitor,Electronics,400.0,3,1200.0,2025-03-20
110,13,Customer_13,cust13@example.com,US,3,Monitor,Electronics,400.0,3,1200.0,2025-04-10
111,48,Customer_48,cust48@example.com,AU,4,Keyboard,Accessories,100.0,1,100.0,2025-06-14
112,40,Customer_40,cust40@example.com,UK,1,Laptop,Electronics,1200.0,1,1200.0,2025-11-11
113,24,Customer_24,cust24@example.com,CA,4,Keyboard,Accessories,100.0,2,200.0,2025-05-28
114,24,Customer_24,cust24@example.com,CA,3,Monitor,Electronics,400.0,4,1600.0,2025-10-17
115,50,Customer_50,cust50@example.com,UK,2,Phone,Electronics,800.0,5,4000.0,2025-09-01
116,3,Customer_3,cust3@example.com,AU,3,Monitor,Electronics,400.0,1,400.0,2026-01-11
117,39,Customer_39,cust39@example.com,AU,1,Laptop,Electronics,1200.0,5,6000.0,2025-08-03
118,23,Customer_23,cust23@example.com,CA,1,Laptop,Electronics,1200.0,1,1200.0,2025-08-31
